Average_Current,Max_Current,Min_Current,Median_Current,StDeviation_Current,Coffee Machine,Electric Kettle,Fridge
15.8938,16,15.81,15.895,0.054243969,0,1,1
15.9512,16.05,15.83,15.97,0.062061194,0,1,1
15.9218,16.03,15.81,15.92,0.069684127,0,1,1
15.9166,16.04,15.82,15.895,0.069064005,0,1,1
15.9234,16.04,15.83,15.925,0.065764267,0,1,1
15.9864,16.08,15.86,16.005,0.070094979,0,1,1
15.9476,16.07,15.86,15.925,0.069885037,0,1,1
15.981,16.08,15.86,15.98,0.06978831,0,1,1
15.9754,16.09,15.87,15.975,0.067769417,0,1,1
15.9822,16.11,15.87,15.98,0.064627346,0,1,1
15.978,16.09,15.88,15.98,0.066608818,0,1,1
16.0216,16.11,15.88,16.03,0.065164157,0,1,1
15.9816,16.11,15.89,15.95,0.069849985,0,1,1
15.9884,16.11,15.89,15.985,0.06469268,0,1,1
15.942,16.11,15.84,15.945,0.070189249,0,1,1
15.9356,16.04,15.83,15.94,0.060883294,0,1,1
15.931,16,15.82,15.96,0.058492979,0,1,1
1.1084,1.16,1.06,1.1,0.027874354,0,0,1
1.1062,1.16,1.06,1.11,0.029129549,0,0,1
1.107,1.16,1.06,1.11,0.027939439,0,0,1
1.1048,1.17,1.06,1.1,0.028943294,0,0,1
1.1068,1.16,1.05,1.105,0.028459782,0,0,1
1.1062,1.16,1.06,1.1,0.029408454,0,0,1
1.1052,1.16,1.06,1.11,0.028517091,0,0,1
1.1064,1.16,1.07,1.105,0.028122182,0,0,1
1.1064,1.15,1.06,1.105,0.02746129,0,0,1
1.1078,1.16,1.06,1.105,0.027051727,0,0,1
1.1066,1.16,1.06,1.105,0.027892651,0,0,1
1.1064,1.16,1.06,1.11,0.028979937,0,0,1
1.1054,1.15,1.06,1.11,0.027345857,0,0,1
1.1066,1.16,1.06,1.11,0.027745932,0,0,1
1.107,1.16,1.06,1.11,0.027348842,0,0,1
1.1052,1.15,1.05,1.11,0.029914163,0,0,1
1.1066,1.16,1.05,1.1,0.028400201,0,0,1
1.1034,1.16,1.05,1.1,0.028111295,0,0,1
1.1066,1.16,1.06,1.105,0.027000378,0,0,1
1.1066,1.16,1.06,1.1,0.027375693,0,0,1
1.1054,1.15,1.06,1.1,0.026124506,0,0,1
1.105,1.15,1.06,1.11,0.028446154,0,0,1
1.1052,1.15,1.06,1.105,0.026972397,0,0,1
1.1044,1.15,1.05,1.1,0.028367846,0,0,1
1.1054,1.15,1.06,1.1,0.027345857,0,0,1
1.1038,1.16,1.05,1.105,0.029546919,0,0,1
1.1068,1.15,1.06,1.11,0.026298134,0,0,1
1.1058,1.15,1.06,1.105,0.028791297,0,0,1
1.1026,1.15,1.05,1.105,0.028053157,0,0,1
1.104,1.15,1.05,1.11,0.028926367,0,0,1
1.1054,1.15,1.07,1.11,0.027196188,0,0,1
1.1048,1.16,1.06,1.11,0.028229381,0,0,1
1.1046,1.16,1.06,1.095,0.028299419,0,0,1
1.105,1.16,1.06,1.11,0.02837432,0,0,1
1.1052,1.16,1.06,1.1,0.026668027,0,0,1
1.1038,1.15,1.05,1.1,0.028131615,0,0,1
1.1046,1.16,1.05,1.105,0.027420386,0,0,1
1.1042,1.16,1.05,1.1,0.02611513,0,0,1
1.1056,1.16,1.06,1.105,0.026353949,0,0,1
1.1034,1.15,1.06,1.1,0.027965722,0,0,1
1.1064,1.15,1.06,1.11,0.028838749,0,0,1
1.1028,1.15,1.05,1.1,0.028142495,0,0,1
1.103,1.15,1.06,1.1,0.027939439,0,0,1
1.1058,1.16,1.06,1.105,0.027781215,0,0,1
1.1044,1.15,1.06,1.11,0.026890557,0,0,1
1.1038,1.15,1.05,1.105,0.026410418,0,0,1
1.1034,1.15,1.06,1.105,0.027524386,0,0,1
1.104,1.15,1.06,1.1,0.026263966,0,0,1
