Average_Current,Max_Current,Min_Current,Electric Kettle,Electric Kettle and Fridge,Fridge
15.912000000000004,16.01,15.82,0,1,0
15.891400000000004,15.98,15.8,0,1,0
15.884999999999998,15.98,15.78,0,1,0
15.893800000000004,16.0,15.81,0,1,0
15.951199999999998,16.05,15.83,0,1,0
15.9218,16.03,15.81,0,1,0
15.916600000000008,16.04,15.82,0,1,0
15.923400000000004,16.04,15.83,0,1,0
15.9864,16.08,15.86,0,1,0
15.947599999999998,16.07,15.86,0,1,0
15.980999999999995,16.08,15.86,0,1,0
15.9754,16.09,15.87,0,1,0
15.982199999999995,16.11,15.87,0,1,0
15.978000000000007,16.09,15.88,0,1,0
16.021600000000007,16.11,15.88,0,1,0
15.981599999999993,16.11,15.89,0,1,0
15.988400000000004,16.11,15.89,0,1,0
15.942000000000002,16.11,15.84,0,1,0
15.935600000000004,16.04,15.83,0,1,0
15.931000000000004,16.0,15.82,0,1,0
1.1084000000000005,1.16,1.06,0,0,1
1.1062000000000003,1.16,1.06,0,0,1
1.1070000000000002,1.16,1.06,0,0,1
1.1048000000000002,1.17,1.06,0,0,1
1.1068000000000002,1.16,1.05,0,0,1
1.1062000000000003,1.16,1.06,0,0,1
1.1052,1.16,1.06,0,0,1
1.1064,1.16,1.07,0,0,1
1.1064000000000005,1.15,1.06,0,0,1
1.1078,1.16,1.06,0,0,1
1.1066,1.16,1.06,0,0,1
1.1064,1.16,1.06,0,0,1
1.1054000000000002,1.15,1.06,0,0,1
1.1065999999999998,1.16,1.06,0,0,1
1.107,1.16,1.06,0,0,1
1.1052,1.15,1.05,0,0,1
1.1066,1.16,1.05,0,0,1
1.1034,1.16,1.05,0,0,1
1.1066,1.16,1.06,0,0,1
1.1066,1.16,1.06,0,0,1
1.1054000000000004,1.15,1.06,0,0,1
1.1050000000000002,1.15,1.06,0,0,1
1.1052000000000002,1.15,1.06,0,0,1
1.1044000000000005,1.15,1.05,0,0,1
1.1054000000000002,1.15,1.06,0,0,1
1.1038,1.16,1.05,0,0,1
1.1068,1.15,1.06,0,0,1
1.1058000000000003,1.15,1.06,0,0,1
1.1026000000000002,1.15,1.05,0,0,1
1.104,1.15,1.05,0,0,1
1.1054000000000002,1.15,1.07,0,0,1
1.1048,1.16,1.06,0,0,1
1.1046000000000005,1.16,1.06,0,0,1
1.105,1.16,1.06,0,0,1
1.1052000000000002,1.16,1.06,0,0,1
1.1038,1.15,1.05,0,0,1
1.1046,1.16,1.05,0,0,1
1.1042,1.16,1.05,0,0,1
1.1056,1.16,1.06,0,0,1
1.1034000000000004,1.15,1.06,0,0,1
1.1063999999999998,1.15,1.06,0,0,1
1.1028000000000002,1.15,1.05,0,0,1
1.1030000000000004,1.15,1.06,0,0,1
1.1058,1.16,1.06,0,0,1
1.1044,1.15,1.06,0,0,1
1.1038,1.15,1.05,0,0,1
1.1034,1.15,1.06,0,0,1
1.104,1.15,1.06,0,0,1
1.1038000000000003,1.15,1.06,0,0,1
1.1052000000000004,1.15,1.06,0,0,1
